DATE	GAME	OPP	PA	AB	RBI	R	H	2B	3B	HR	TB	SO	SB	CS	AVG
05/21	82	統一7-ELEVEn	4	4	1	0	1	0	0	0	1	1	0	0	0.305
05/21	78	統一7-ELEVEn	1	1	0	0	0	0	0	0	0	0	0	0	0.307
05/20	80	統一7-ELEVEn	5	4	0	2	2	0	0	0	2	1	0	0	0.310
05/18	75	Lamigo	5	3	0	0	0	0	0	0	0	3	0	0	0.303
05/14	71	富邦	4	0	0	0	0	0	0	0	0	0	0	1	0.311
05/13	69	富邦	4	1	0	1	1	0	0	0	1	0	0	1	0.311
05/12	67	富邦	5	2	0	1	1	0	0	0	1	0	1	0	0.305
05/11	66	統一7-ELEVEn	6	6	1	1	2	0	0	1	5	1	0	0	0.301
05/10	64	統一7-ELEVEn	4	3	0	0	0	0	0	0	0	0	0	0	0.299
05/07	62	富邦	4	3	0	2	2	1	0	0	3	0	1	0	0.309
05/06	60	富邦	5	4	6	3	3	0	0	1	6	0	0	0	0.297
05/05	58	富邦	4	4	0	0	0	0	0	0	0	0	0	0	0.276
05/04	56	Lamigo	3	3	0	1	2	0	0	0	2	0	0	0	0.289
05/03	54	Lamigo	5	5	0	0	0	0	0	0	0	0	0	0	0.275
04/30	52	統一7-ELEVEn	5	5	5	2	4	0	0	2	10	0	0	0	0.293
04/29	50	統一7-ELEVEn	5	5	0	1	1	0	1	0	3	0	0	0	0.257
04/28	48	統一7-ELEVEn	5	4	0	1	3	0	0	0	3	0	2	0	0.262
04/25	43	富邦	6	5	0	1	2	0	0	0	2	0	1	0	0.230
04/23	37	Lamigo	5	4	1	0	1	0	0	0	1	1	0	0	0.214
04/22	39	Lamigo	4	1	0	1	0	0	0	0	0	1	0	0	0.212
04/20	36	統一7-ELEVEn	4	3	0	0	0	0	0	0	0	0	0	0	0.216
04/19	34	統一7-ELEVEn	1	1	0	0	0	0	0	0	0	0	0	0	0.229
04/16	31	Lamigo	5	4	1	2	1	0	0	1	4	0	0	0	0.234
04/15	29	Lamigo	4	4	0	0	3	0	0	0	3	0	0	0	0.233
04/13	26	統一7-ELEVEn	4	4	0	0	0	0	0	0	0	1	0	0	0.179
04/11	24	統一7-ELEVEn	1	1	0	0	0	0	0	0	0	0	0	0	0.200
04/09	23	富邦	4	4	0	1	2	0	0	0	2	1	0	0	0.206
04/08	21	富邦	1	1	0	0	0	0	0	0	0	0	0	0	0.167
04/06	17	Lamigo	4	3	0	0	0	0	0	0	0	1	0	0	0.172
04/05	15	Lamigo	5	5	0	0	0	0	0	0	0	0	0	0	0.192
04/02	13	統一7-ELEVEn	4	4	0	0	2	0	0	0	2	0	0	0	0.238
04/02	9	統一7-ELEVEn	5	5	1	2	2	1	0	0	3	0	0	0	0.176
04/01	11	統一7-ELEVEn	1	1	0	0	0	0	0	0	0	0	1	0	0.083
03/30	7	富邦	4	4	0	0	0	0	0	0	0	0	0	0	0.091
03/29	5	富邦	4	4	1	0	1	0	0	0	1	0	0	0	0.143
03/26	3	統一7-ELEVEn	4	3	0	0	0	0	0	0	0	1	0	0	0.000
03/25	1	富邦	1	0	0	0	0	0	0	0	0	0	0	0	0.000
